"start";"end";"I1_min";"I1_max";"I2_min";"I2_max";"I3_min";"I3_max";"U12_min";"U12_max";"U23_min";"U23_max";"U31_min";"U31_max"
"08.07.2018 03:18:14.990366";"08.07.2018 03:18:14.990566";12,42266;16,35595;-60,5121;-59,22108;44,82393;47,22432;29981,6;31412,77;-46854,7;-46335,04;14922,26;16873,1
"08.07.2018 03:18:14.990566";"08.07.2018 03:18:14.990767";16,35595;22,12379;-62,47738;-60,5121;41,32556;44,82393;31412,77;34904,65;-46335,04;-45192,7;10288,04;14922,26
"08.07.2018 03:18:14.990767";"08.07.2018 03:18:14.990967";22,12379;24,06242;-63,15638;-62,47738;40,09944;41,32556;34904,65;36583,02;-45192,7;-44312,84;7729,813;10288,04
"08.07.2018 03:18:14.990967";"08.07.2018 03:18:14.991167";24,06242;25,67919;-63,58983;-63,15638;38,86578;40,09944;36583,02;38274,05;-44312,84;-43462,8;5188,758;7729,813
"08.07.2018 03:18:14.991167";"08.07.2018 03:18:14.991368";25,67919;29,02642;-63,71772;-63,4915;35,10784;38,86578;38274,05;40920,75;-43462,8;-41309,1;388,3474;5188,758
"08.07.2018 03:18:14.991368";"08.07.2018 03:18:14.991568";29,02642;31,08594;-63,4915;-62,91289;32,24642;35,10784;40920,75;42034,67;-41309,1;-40244,04;-1790,631;388,3474
"08.07.2018 03:18:14.991568";"08.07.2018 03:18:14.991769";31,08594;33,42213;-62,91289;-62,06198;28,82534;32,24642;42034,67;42964,27;-40244,04;-39148,7;-3815,576;-1790,631
"08.07.2018 03:18:14.991769";"08.07.2018 03:18:14.991969";33,42213;35,93248;-62,06198;-61,09739;25,1332;28,82534;42964,27;43722,16;-39148,7;-38142,16;-5580,002;-3815,576
"08.07.2018 03:18:14.991969";"08.07.2018 03:18:14.992170";35,93248;40,97776;-61,09739;-59,6171;18,32028;25,1332;43722,16;45130,23;-38142,16;-35229,12;-9901,113;-5580,002
"08.07.2018 03:18:14.992170";"08.07.2018 03:18:14.992370";40,97776;43,35982;-59,6171;-59,37797;15,66315;18,32028;45130,23;45883,68;-35229,12;-33613,87;-12269,81;-9901,113
"08.07.2018 03:18:14.992370";"08.07.2018 03:18:14.992570";43,35982;45,6401;-59,45731;-59,37797;13,50796;15,66315;45883,68;46505,98;-33613,87;-31542,45;-14963,52;-12269,81
"08.07.2018 03:18:14.992570";"08.07.2018 03:18:14.992771";45,6401;50,03834;-59,68904;-59,45731;9,65619;13,50796;46505,98;47573,71;-31542,45;-27535,8;-20037,92;-14963,52
"08.07.2018 03:18:14.992771";"08.07.2018 03:18:14.992971";50,03834;52,18562;-59,68904;-59,22866;7,287996;9,65619;47573,71;47725,7;-27535,8;-25271,84;-22453,87;-20037,92
"08.07.2018 03:18:14.992971";"08.07.2018 03:18:14.993172";52,18562;54,25725;-59,22866;-58,05086;4,304402;7,287996;47725,7;47735,27;-25271,84;-23290,38;-24444,89;-22453,87
"08.07.2018 03:18:14.993172";"08.07.2018 03:18:14.993372";54,25725;56,18975;-58,05086;-56,09599;0,6851825;4,304402;47602,92;47735,27;-23290,38;-21293,41;-26309,51;-24444,89
"08.07.2018 03:18:14.993372";"08.07.2018 03:18:14.993573";56,18975;59,42977;-56,09599;-50,57992;-7,615163;0,6851825;46985,96;47602,92;-21293,41;-17902,93;-29083,04;-26309,51
"08.07.2018 03:18:14.993573";"08.07.2018 03:18:14.993773";59,42977;60,71072;-50,57992;-47,69902;-11,6216;-7,615163;46526,76;46985,96;-17902,93;-15859,19;-30667,58;-29083,04
"08.07.2018 03:18:14.993773";"08.07.2018 03:18:14.993973";60,71072;61,79201;-47,69902;-45,18626;-15,11883;-11,6216;46071,67;46526,76;-15859,19;-13858,68;-32212,99;-30667,58
"08.07.2018 03:18:14.993973";"08.07.2018 03:18:14.994174";61,79201;62,69116;-45,18626;-43,20667;-17,95755;-15,11883;45351,42;46071,67;-13858,68;-11414,29;-33937,13;-32212,99
"08.07.2018 03:18:14.994174";"08.07.2018 03:18:14.994374";62,69116;63,83009;-43,20667;-40,43801;-21,91363;-17,95755;43795,01;45351,42;-11414,29;-6338,327;-37456,69;-33937,13
"08.07.2018 03:18:14.994374";"08.07.2018 03:18:14.994575";63,83009;63,9197;-40,43801;-39,02782;-23,46851;-21,91363;42751,71;43795,01;-6338,327;-3679,688;-39072,02;-37456,69
"08.07.2018 03:18:14.994575";"08.07.2018 03:18:14.994775";63,58517;63,9197;-39,02782;-37,12124;-25,09009;-23,46851;41685,86;42751,71;-3679,688;-1212,853;-40473,01;-39072,02
"08.07.2018 03:18:14.994775";"08.07.2018 03:18:14.994976";61,69868;63,58517;-37,12124;-31,15161;-29,18534;-25,09009;39502,28;41685,86;-1212,853;3146,435;-42648,71;-40473,01
"08.07.2018 03:18:14.994976";"08.07.2018 03:18:14.995176";60,42427;61,69868;-31,15161;-27,29439;-31,7071;-29,18534;38413,88;39502,28;3146,435;5014,449;-43428,33;-42648,71
"08.07.2018 03:18:14.995176";"08.07.2018 03:18:14.995376";59,24222;60,42427;-27,29439;-23,28487;-34,42382;-31,7071;37093,42;38413,88;5014,449;7100,269;-44193,7;-43428,33
"08.07.2018 03:18:14.995376";"08.07.2018 03:18:14.995577";58,38891;59,24222;-23,28487;-19,50582;-37,19456;-34,42382;35671,58;37093,42;7100,269;9350,365;-45021,95;-44193,7
"08.07.2018 03:18:14.995577";"08.07.2018 03:18:14.995777";58,00316;58,38891;-19,50582;-13,54595;-42,44025;-37,19456;31932,24;35671,58;9350,365;14366,58;-46298,82;-45021,95
